"","timesincefire","avg.org","cubeorg","Moisture","ecoregion3","cubePima","burn.name","site"
"1",44,10.15,2.16515344701575,"Xeric","shield",0,"Russell lake","F10-2"
"2",43,30.35,3.11926949805446,"Subhydric","shield",0.722816652664846,"Marion lake","F9-11"
"3",77,6.6,1.8757774553669,"Xeric","shield",0,"Unburned control","C1-32"
"4",35,16.4,2.54066818554496,"Subhydric","plains",0.499800793977795,"Mackenzie Hwy N","F4-30"
"5",44,6.3,1.84691475044783,"Xeric","shield",0,"Behchoko","F11-20"
"6",35,57.85,3.86753679717433,"Subhydric","plains",0,"Mackenzie Hwy N","F4-6"
"7",129,25,2.92401773821287,"Subhydric","plains",1.78010246296091,"Unburned control","C7-18"
"8",84,39.1,3.39410744053,"Subhydric","plains",1.82301053275127,"Unburned control","C9-5"
"9",35,18.25,2.63281871408572,"Subhydric","plains",0.630212829747184,"Mackenzie Hwy N","F4-30"
"10",44,25.05,2.92596578525027,"Subhydric","shield",1.51108198084023,"Behchoko","F11-19"
"11",44,4.1,1.60052066388316,"Xeric","shield",0,"Behchoko","F11-19"
"12",46,23.85,2.87847720422514,"Mesic","sahtu",1.88519597481216,"Norman Wells","F15-13"
"13",46,15.2,2.47712465926034,"Mesic","sahtu",1.42049949316164,"Norman Wells","F15-9"
"14",1,1.3,1.09139288306111,"Xeric","plains",0,"Northern","ZF46-45"
"15",57,18.35,2.63761875883126,"Mesic","shield",1.98772388053286,"Unburned control","C4-5"
"16",1,4,1.5874010519682,"Mesic","shield",0.549420780857168,"Wekweeti","ZF26-113"
"17",99,22.1,2.80627842839044,"Mesic","plains",1.67419821990793,"Unburned control","C9-1"
"18",34,10.8,2.21041889918423,"Mesic","plains",0.79125806278788,"Fort Smith Hwy","F6-32"
"19",153,20.5,2.73685183739921,"Mesic","plains",2.05027807847817,"Unburned control","C9-9"
"20",1,6.5,1.86625557840862,"Mesic","sahtu",1.87179646611785,"Norman Wells","F17-4"
"21",46,20.2,2.72343568156888,"Mesic","sahtu",1.30814716560598,"Norman Wells","F15-16"
