MARKER_ID	GDIST.x	PDIST.x	CHROME3	PVAL	#Chromosome	Name
Affx-472327982	0	143968	Contigs	8.246944581455791e-15	NW_019942573.1	AX-181981637
Affx-472328303	0	3181126	AC08	4.090915953262445e-4	NC_036848.1	AX-181913492
Affx-472328348	0	4199064	AC25	5.3864869936947936e-5	NC_036865.1	AX-181913525
Affx-472328632	0	27831026	AC20	2.0866110738331076e-45	NC_036860.1	AX-181913756
Affx-472329843	0	23796751	AC22	4.1087250609970955e-5	NC_036862.1	AX-181914731
Affx-472337312	0	52398	Contigs	4.433964819306853e-16	NW_019945531.1	AX-181920481
Affx-472338303	0	8423396	AC08	2.358627722013758e-146	NC_036848.1	AX-181921237
Affx-472338608	0	45321146	AC04.1:29	9.633201768483894e-14	NC_036842.1	AX-181921464
Affx-472338772	0	NA	Contigs	4.695820044392011e-13	NA	AX-181921595
Affx-472339399	0	31368705	AC09	1.8682288439558794e-14	NC_036849.1	AX-181922080
Affx-472342675	0	43315533	AC13	3.90532756947282e-4	NC_036853.1	AX-181918833
Affx-472345233	0	22318769	AC03	4.0188420809739135e-5	NC_036840.1	AX-181926277
Affx-472346130	0	193452	Contigs	1.7233758138025282e-8	NW_019942829.1	AX-181926781
Affx-472347073	0	56379	Contigs	3.7824014027905494e-5	NW_019942977.1	AX-181927338
Affx-472351823	0	65269304	AC04.1:29	1.2374134874873045e-6	NC_036842.1	AX-181929997
Affx-472356013	0	48004612	AC20	7.29750222302192e-124	NC_036860.1	AX-181982525
Affx-472358043	0	93478	Contigs	1.661252402907741e-5	NW_019943214.1	AX-181988102
Affx-472360885	0	35046154	AC08	2.6422898415825444e-4	NC_036848.1	AX-181934940
Affx-472364915	0	105167	Contigs	4.219822248131582e-16	NW_019942682.1	AX-182166067
Affx-472367385	0	59101288	AC15	1.996826522324978e-6	NC_036855.1	AX-181938459
Affx-472372360	0	40749621	AC26	2.549249369682752e-5	NC_036866.1	AX-181941796
Affx-472373969	0	32564486	AC15	5.346014720031947e-6	NC_036855.1	AX-181943104
Affx-472375181	0	16525531	AC01	2.6134785992930828e-17	NC_036838.1	AX-181944080
Affx-472375560	0	67007339	AC15	1.343586472735898e-4	NC_036855.1	AX-182160579
Affx-472378301	0	74378610	AC04.1:29	9.485080539738889e-5	NC_036842.1	AX-181946621
Affx-472379940	0	4760	Contigs	5.014397577930844e-4	NW_019946258.1	AX-181947939
Affx-472383357	0	29603462	AC06.1	4.930899389140779e-4	NC_036845.1	AX-181950696
Affx-472389638	0	7819319	AC33	2.24891385096354e-14	NC_036872.1	AX-181955639
Affx-472392234	0	15277374	AC10	2.358627722013758e-146	NC_036850.1	AX-181957728
Affx-472396170	0	2132	Contigs	5.989178116431152e-120	NW_019943364.1	AX-181960878
Affx-472397462	0	81156	Contigs	7.233435847694663e-9	NW_019944140.1	AX-181961915
Affx-472397812	0	400	Contigs	1.3476786063788844e-7	NW_019943934.1	AX-181962195
Affx-472398566	0	33970666	AC04.1:29	2.358627722013758e-146	NC_036842.1	AX-181981141
Affx-472402533	0	48055261	AC18	2.358627722013758e-146	NC_036858.1	AX-181982341
Affx-472404643	0	89661	Contigs	5.321980736318763e-5	NW_019943354.1	AX-181990677
Affx-472411030	0	37571792	AC16	2.358627722013758e-146	NC_036856.1	AX-181970401
Affx-472412259	0	9254957	AC22	2.6134785992930828e-17	NC_036862.1	AX-181971409
Affx-472412776	0	77329	Contigs	5.620689018349944e-4	NW_019944062.1	AX-181971814
Affx-472414329	0	865892	Contigs	3.368823247739233e-8	NW_019957565.1	AX-181973024
Affx-472417918	0	342807	Contigs	2.358627722013758e-146	NW_019957574.1	AX-181975921
